Tahun;Bulan;Tanggal;Produk;Unit_Terjual;Harga_Per_Unit
2021;Januari;1;Americano;52.0;21000.0
2021;Januari;1;Cappuccino;45.0;
2021;Januari;1;Croissant;20.0;
2021;Januari;1;Donat;20.0;15000.0
2021;Januari;1;Espresso;43.0;22000.0
2021;Januari;1;Latte;38.0;28000.0
2021;Januari;2;Americano;44.0;21000.0
2021;Januari;2;Cappuccino;36.0;
2021;Januari;2;Croissant;18.0;18000.0
2021;Januari;2;Croissant;18.0;18000.0
2021;Januari;2;Donat;18.0;15000.0
2021;Januari;2;Espresso;52.0;22000.0
2021;Januari;2;Latte;46.0;28000.0
2021;Januari;3;Cappuccino;26.0;
2021;Januari;3;Croissant;13.0;18000.0
2021;Januari;3;Donat;24.0;15000.0
2021;Januari;3;Espresso;41.0;
2021;Januari;3;Latte;24.0;28000.0
2021;Januari;3;;35.0;21000.0
2021;Januari;4;Americano;38.0;21000.0
2021;Januari;4;Cappuccino;51.0;25000.0
2021;Januari;4;Croissant;22.0;18000.0
2021;Januari;4;Donat;10.0;15000.0
2021;Januari;4;Espresso;32.0;22000.0
2021;Januari;4;;;28000.0
2021;Januari;5;Americano;43.0;21000.0
2021;Januari;5;Cappuccino;30.0;25000.0
2021;Januari;5;Croissant;17.0;
2021;Januari;5;Donat;19.0;15000.0
2021;Januari;5;Espresso;35.0;22000.0
2021;Januari;5;Latte;40.0;28000.0
2021;Januari;6;Americano;31.0;21000.0
2021;Januari;6;Cappuccino;39.0;25000.0
2021;Januari;6;Croissant;;18000.0
2021;Januari;6;Donat;12.0;15000.0
2021;Januari;6;Espresso;35.0;22000.0
2021;Januari;6;Latte;54.0;28000.0
2021;Januari;7;Americano;41.0;21000.0
2021;Januari;7;Cappuccino;;
2021;Januari;7;Croissant;27.0;18000.0
2021;Januari;7;Donat;23.0;15000.0
2021;Januari;7;Espresso;41.0;22000.0
2021;Januari;7;;24.0;28000.0
2021;Januari;8;Americano;34.0;21000.0
2021;Januari;8;Cappuccino;28.0;25000.0
2021;Januari;8;Croissant;18.0;18000.0
2021;Januari;8;Donat;30.0;15000.0
2021;Januari;8;Espresso;39.0;22000.0
2021;Januari;8;Latte;37.0;28000.0
2021;Januari;9;Americano;36.0;21000.0
2021;Januari;9;Cappuccino;42.0;25000.0
